transaction_id,customer_id,timestamp,amount,amount_proxy,merchant_category,channel,city,customer_tenure_months,is_fraud
1,10044,2025-03-04 22:44:50,30.03,36.47,fuel,pos,Indore,57.0,0
2,10386,2025-01-09 23:38:06,66.67,74.47,grocery,mobile,Pune,,0
3,10327,2025-03-09 18:49:06,68.88,,grocery,web,Bhopal,42.0,0
4,10219,2025-01-10 15:59:25,28.57,41.04,,mobile,Ujjain,63.0,0
5,10216,2025-01-05 13:51:41,31.12,28.22,fashion,mobile,Indore,60.0,0
6,10429,2025-01-11 09:06:18,57.5,63.78,fuel,mobile,Dewas,2.0,0
7,10042,2025-02-11 09:14:14,23.62,,travel,web,Dewas,68.0,0
8,10348,2025-02-25 18:16:10,30.97,43.67,grocery,web,Delhi,68.0,0
9,10100,2025-02-06 15:49:18,42.87,64.53,fashion,pos,Indore,118.0,0
10,10047,2025-01-11 23:27:10,77.27,87.18,electronics,mobile,,61.0,0
11,10263,2025-01-18 22:12:14,27.3,,restaurant,web,Delhi,108.0,0
12,10487,2025-03-18 17:08:44,12.21,18.55,restaurant,mobile,Delhi,42.0,0
13,10367,2025-03-28 15:16:02,11.64,5.8,electronics,pos,Dewas,83.0,0
14,10380,2025-03-09 21:13:35,17.84,,grocery,web,Indore,108.0,0
15,10358,2025-01-10 07:22:26,,,travel,web,Bhopal,19.0,0
16,10393,2025-03-15 18:47:13,36.58,,electronics,mobile,,68.0,0
17,10256,2025-03-04 06:41:45,18.68,17.02,restaurant,mobile,Dewas,110.0,0
18,10064,2025-02-17 08:17:26,25.62,23.5,restaurant,mobile,Dewas,67.0,0
19,10419,2025-01-13 21:23:42,24.46,28.4,,pos,Dewas,,0
20,10225,2025-03-31 16:49:21,30.38,30.75,fuel,web,Dewas,50.0,0
21,10250,2025-02-09 20:01:47,95.55,98.14,grocery,mobile,Ujjain,106.0,0
22,10185,2025-01-04 23:25:05,62.19,,grocery,mobile,Dewas,75.0,0
23,10091,2025-01-19 21:31:55,40.87,48.49,restaurant,mobile,Ujjain,58.0,0
24,10463,2025-02-06 02:43:56,29.97,32.14,restaurant,mobile,Bhopal,26.0,0
25,10390,2025-01-06 14:37:33,30.52,22.87,restaurant,pos,Bhopal,21.0,0
26,10321,2025-01-30 03:42:11,50.05,,grocery,mobile,Delhi,35.0,0
27,10201,2025-02-12 03:45:06,59.13,44.32,fuel,mobile,Pune,90.0,0
28,10411,2025-03-27 09:04:27,22.42,21.54,travel,web,Dewas,56.0,0
29,10272,2025-01-08 18:34:12,41.42,41.43,fashion,mobile,Indore,47.0,0
30,10221,2025-02-21 22:01:10,10.8,13.28,restaurant,mobile,Delhi,56.0,0
31,10225,2025-03-24 10:02:38,,56.47,fashion,mobile,Ujjain,42.0,0
32,10113,2025-03-14 13:22:20,66.38,83.36,grocery,web,Indore,97.0,0
33,10046,2025-03-25 05:52:25,33.72,32.07,,pos,Ujjain,47.0,0
34,10277,2025-01-16 07:56:13,131.73,152.23,,pos,Pune,57.0,0
35,10443,2025-03-14 02:54:04,22.81,27.11,electronics,pos,Bhopal,67.0,0
36,10031,2025-03-30 01:50:59,46.59,38.49,,pos,Ujjain,77.0,0
37,10429,2025-01-30 08:13:50,39.52,59.47,,web,Indore,40.0,0
38,10413,2025-02-14 21:03:41,37.89,30.93,fashion,mobile,Dewas,9.0,0
39,10138,2025-02-17 18:37:02,37.55,45.41,grocery,mobile,Delhi,83.0,0
40,10315,2025-02-14 10:19:54,43.36,51.68,fashion,pos,Bhopal,67.0,0
41,10082,2025-01-27 01:55:43,70.19,80.82,travel,web,Indore,78.0,0
42,10379,2025-03-29 09:06:39,99.04,106.97,travel,web,Bhopal,65.0,0
43,10350,2025-03-28 02:01:58,40.39,51.85,fuel,mobile,Dewas,61.0,0
44,10177,2025-02-04 06:22:54,,64.47,electronics,web,Indore,113.0,0
45,10033,2025-03-14 11:25:50,25.63,28.18,fashion,mobile,Ujjain,7.0,0
46,10485,2025-02-05 18:39:14,66.54,70.01,fashion,web,Indore,11.0,0
47,10222,2025-03-13 12:47:27,24.65,,fashion,mobile,Bhopal,112.0,0
48,10446,2025-02-22 15:03:57,,95.47,fashion,pos,Ujjain,,0
49,10338,2025-02-12 07:33:59,170.19,199.23,restaurant,mobile,Ujjain,49.0,1
